name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Kyung Ho Kang,19,10,175.26,61.23,185.42,Orthodox,36,3.35,0.48,3.33,0.55,1.87,0.57,0.68,0.8
Kevin Borjas,9,2,165.1,56.7,172.72,Orthodox,26,5.4,0.41,6.63,0.49,0,0,0.56,0
Dennis Buzukja,11,4,175.26,65.77,177.8,Switch,26,3.3,0.43,4.93,0.4,0.98,0.3,0.73,0.3
Jamall Emmers,20,7,177.8,65.77,187.96,Orthodox,34,5.1,0.48,3.79,0.57,1.96,0.4,0.9,0.2
Derrick Lewis,27,12,190.5,117.93,200.66,Orthodox,39,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0
Gabriel Bonfim,15,1,185.42,77.11,182.88,Orthodox,26,4.87,0.4,5.25,0.59,4.75,0.71,1,3.8
Nicolas Dalby,23,4,180.34,77.11,187.96,Orthodox,39,4.03,0.43,3.43,0.52,1.11,0.3,0.6,0.1
Rodrigo Nascimento,11,1,187.96,111.58,203.2,Orthodox,31,4.31,0.48,4.76,0.43,1.2,0.33,0.77,0.7
Don'Tale Mayes,10,6,198.12,117.93,205.74,Orthodox,32,3.6,0.44,3.84,0.46,0.79,0.43,0.6,0
Caio Borralho,15,1,177.8,83.91,190.5,Southpaw,31,2.73,0.58,1.98,0.6,2.16,0.63,0.57,0.5
Abus Magomedov,25,6,187.96,83.91,198.12,Orthodox,33,3.73,0.42,5.36,0.54,0.61,0.5,1,0
Elves Brener,16,3,177.8,70.31,182.88,Orthodox,26,4.64,0.46,5.05,0.55,0.93,0.2,0.85,0
Kaynan Kruschewsky,15,2,182.88,70.31,185.42,Orthodox,32,5.08,0.39,4.79,0.47,2.18,1,0,2.2
Modestas Bukauskas,15,6,190.5,92.99,198.12,Switch,30,3.28,0.41,3.87,0.5,0,0,0.71,0
Angela Hill,16,13,160.02,52.16,162.56,Orthodox,39,5.44,0.5,4.94,0.61,0.73,0.34,0.75,0.1
Denise Gomes,8,3,157.48,52.16,160.02,Orthodox,24,4.81,0.48,3.66,0.49,1.13,0.33,0.47,0.8
Eduarda Moura,10,0,167.64,52.16,167.64,Orthodox,30,5.61,0.67,0.45,0.8,5.34,1,0,1.3
Montserrat Conejo Ruiz,10,4,152.4,52.16,154.94,Southpaw,31,0.79,0.27,4.96,0.37,2.05,0.83,0.33,0.8
Kaue Fernandes,8,2,175.26,70.31,185.42,Orthodox,29,1.53,0.54,0.87,0.59,1,1,0.62,0
Marc Diakiese,17,7,177.8,70.31,185.42,Orthodox,31,2.54,0.4,2.64,0.52,3.29,0.43,0.66,0
Islam Makhachev,25,1,177.8,70.31,177.8,Southpaw,32,2.46,0.6,1.27,0.61,3.17,0.6,0.9,1
Kamaru Usman,20,4,182.88,77.11,193.04,Switch,36,4.36,0.52,2.74,0.54,2.82,0.45,0.89,0.1
Khamzat Chimaev,13,0,187.96,83.91,190.5,Orthodox,29,5.72,0.58,3.46,0.42,3.99,0.46,1,2.7
Ikram Aliskerov,15,1,182.88,83.91,193.04,Southpaw,31,8.24,0.65,7.15,0.36,2.33,0.33,0,2.3
Warlley Alves,15,7,180.34,83.91,182.88,Orthodox,33,3.25,0.48,4.21,0.5,1.35,0.5,0.8,0.9
Said Nurmagomedov,18,3,172.72,61.23,177.8,Orthodox,31,3.55,0.47,2.13,0.57,1.01,0.16,0.66,1.4
Muin Gafurov,18,6,170.18,61.23,172.72,Southpaw,27,2.98,0.41,2.95,0.48,2.4,0.26,0.62,0
