winner,r_stance,b_stance,career_wins_diff,career_losses_diff,age_diff,height_diff,weight_diff,reach_diff,SLpM_diff,SApM_diff,sig_str_acc_diff,td_acc_diff,str_def_diff,td_def_diff,sub_avg_diff,td_avg_diff
Red,Orthodox,Orthodox,1,-5,-6,-2.539999999999992,0,-5.079999999999984,-0.1599999999999997,0.10000000000000009,-0.13999999999999996,0.38000000000000006,-0.11000000000000004,0.20999999999999996,0,3.0999999999999996
Blue,Orthodox,Orthodox,12,8,9,-2.5400000000000205,0,-12.700000000000017,2.59,1.78,-0.019999999999999962,0.030000000000000027,0.020000000000000018,0.82,0,-3.49
Red,Orthodox,Orthodox,6,-2,2,2.539999999999992,0,2.539999999999992,4.55,-3.97,0.51,0.56,0.46,1,0.6,4.51
Blue,Orthodox,Orthodox,4,7,6,0,0,5.0800000000000125,-0.33999999999999986,0.9199999999999995,-0.09999999999999998,0.14,0,-0.27,0.19999999999999996,-1.1
Red,Southpaw,Orthodox,3,-3,1,-2.5400000000000205,0,-12.699999999999989,0.7600000000000002,0.5499999999999998,0,-0.14,0,0.12,0,0.53
Red,Switch,Orthodox,9,0,5,7.6200000000000045,0,10.160000000000025,2.36,-1.6199999999999997,-0.050000000000000044,-0.25,-0.030000000000000027,-0.09999999999999998,0,-1.37
Red,Orthodox,Orthodox,-3,1,8,-2.539999999999992,0,-2.539999999999992,-1.9899999999999998,0.6399999999999997,-0.10000000000000003,-0.24000000000000002,0.08999999999999997,-0.05999999999999994,-0.2,-1.5
Red,Switch,Orthodox,-1,-4,-3,2.5400000000000205,0,5.079999999999984,2.37,-1.0800000000000005,0.10999999999999999,-0.36,0.2,-0.16000000000000003,0,-0.11000000000000004
Red,Southpaw,Orthodox,10,0,0,-7.6200000000000045,0,2.539999999999992,-3.7,-8.16,0.26000000000000006,0.47,0.050000000000000044,0.49999999999999994,0,1.77
Blue,Orthodox,Orthodox,-3,-1,-5,-7.6200000000000045,0,0,1.2099999999999995,-1.1300000000000003,-0.07999999999999996,-0.26999999999999996,0.13999999999999996,-0.35000000000000003,0,-4.41
Blue,Orthodox,Southpaw,5,1,-1,-5.079999999999984,0,5.0800000000000125,-0.45999999999999996,0.20999999999999996,0.08000000000000002,-0.13999999999999996,0.12999999999999995,0.22999999999999998,-0.6000000000000001,1.27
Blue,Orthodox,Switch,0,2,-2,7.6200000000000045,0,5.0800000000000125,0.5800000000000001,-2.55,0.08000000000000002,0,0.030000000000000027,0.010000000000000009,-0.5,-0.48
Red,Switch,Orthodox,3,-1,3,7.619999999999976,0,20.32000000000002,1.2800000000000002,-0.6000000000000005,0,0.33,0.040000000000000036,0.69,-0.2,0.22
Red,Orthodox,Orthodox,3,-5,-6,-5.079999999999984,0,0,2.2299999999999995,0.6100000000000003,-0.07,-0.3,-0.010000000000000009,0.43000000000000005,0,-0.96
Red,Switch,Orthodox,4,0,-1,0,0,5.079999999999984,3.2600000000000007,-0.5,0.11999999999999994,0.28,0.07000000000000006,0.55,1.6,-0.5900000000000003
Blue,Orthodox,Orthodox,0,0,-9,2.539999999999992,0,7.6200000000000045,-1.0299999999999994,-0.2400000000000002,-0.10999999999999999,0.04999999999999999,-0.05999999999999994,-0.010000000000000009,-0.6,-0.49
Red,Orthodox,Orthodox,0,-1,3,-5.079999999999984,0,-22.860000000000014,-0.16999999999999993,-3.0299999999999994,0.09999999999999998,0.06,0.29,-0.15000000000000002,0.9999999999999999,-0.6400000000000001
Red,Orthodox,Switch,0,-1,1,2.5400000000000205,0,2.539999999999992,-1.2600000000000002,-4.18,0.02999999999999997,-0.5,0.08999999999999997,0.41,0.5,-2.32
Blue,Southpaw,Orthodox,-2,0,0,-7.619999999999976,0,-7.6200000000000045,-1.1400000000000001,1.0599999999999998,0.010000000000000009,0.12999999999999998,-0.19,-0.07000000000000006,1,2.36
Red,Orthodox,Orthodox,3,-3,-7,0,0,-10.159999999999997,-2.59,-1.6,-0.09000000000000002,-0.07999999999999996,-0.09000000000000008,0.010000000000000009,1.8,-2.79
Blue,Switch,Orthodox,4,3,10,2.539999999999992,0,0,0.019999999999999574,-1.37,0.22999999999999993,0.39,0.14,0.47,-0.5,3.43
Blue,Orthodox,Orthodox,-2,1,8,0,0,2.539999999999992,-1.2600000000000002,-3,0.23999999999999994,0.47000000000000003,-0.009999999999999953,0.050000000000000044,0,1.8199999999999998
Blue,Orthodox,Orthodox,11,4,8,-2.5400000000000205,0,5.0800000000000125,1.7599999999999998,0.08999999999999986,0.10000000000000003,-0.19000000000000006,-0.07000000000000006,-0.22000000000000008,-1.1,-0.1399999999999999
Red,Orthodox,Orthodox,12,4,1,-2.539999999999992,0,2.539999999999992,-1.63,-2.9299999999999997,-0.15999999999999998,-0.37,0.12,0.019999999999999907,0,0.36000000000000004
Blue,Southpaw,Orthodox,1,6,7,-10.159999999999997,0,2.539999999999992,-1.2999999999999998,1.9799999999999995,-0.050000000000000044,-0.31,0.039999999999999925,0.18000000000000005,0.1,-0.09000000000000002
Red,Orthodox,Orthodox,1,0,-4,5.079999999999984,0,10.159999999999997,0.73,-0.9199999999999999,-0.050000000000000044,0.03999999999999998,-0.030000000000000027,0.050000000000000044,0.09999999999999998,4.4399999999999995
Red,Orthodox,Southpaw,0,-1,-2,0,0,0,-0.3600000000000003,-0.6399999999999997,0.04999999999999993,-0.010000000000000009,-0.14999999999999997,-0.24,3,6.2
Red,Southpaw,Orthodox,1,-2,5,0,0,5.079999999999984,0.1200000000000001,0.1200000000000001,0.14,0.48,-0.07,0.2899999999999999,-0.6000000000000001,0.18999999999999995
Red,Orthodox,Orthodox,17,8,11,-5.0800000000000125,5.900000000000006,0,1.8900000000000001,1.0399999999999998,0.16999999999999993,0.45,0.010000000000000009,-0.22000000000000008,0.5,1.4
Red,Southpaw,Orthodox,-2,-4,-7,2.5400000000000205,0,-2.539999999999992,2.7299999999999995,-1.15,0.06000000000000005,0.9,0.22000000000000003,1,1.6,3.72
Red,Orthodox,Orthodox,2,0,-2,-2.539999999999992,0,-15.240000000000009,0.8200000000000003,-0.3799999999999999,0.10999999999999993,0,0.009999999999999898,0,0,0
Blue,Orthodox,Southpaw,-2,2,3,-5.0800000000000125,0,-17.78,-5.210000000000001,3.2600000000000002,-0.10000000000000003,0.11,-0.07999999999999996,-0.4,0,0.51
Red,Orthodox,Orthodox,3,0,-4,10.159999999999997,0,-5.0800000000000125,2.6699999999999995,-2.76,0.18000000000000005,-0.5,0.25,-0.5,0,1.58
Blue,Orthodox,Southpaw,-2,4,9,7.619999999999976,0,10.159999999999997,0.8900000000000006,1.1599999999999997,-0.009999999999999953,0.11999999999999994,0.030000000000000027,0.15000000000000002,0.19999999999999996,-0.6400000000000001
Red,Orthodox,Orthodox,12,5,8,-2.5400000000000205,0,5.0800000000000125,1.4299999999999997,0.10999999999999988,0.03999999999999998,-0.10999999999999999,0.050000000000000044,0.30000000000000004,-0.5,0.040000000000000036
Red,Orthodox,Orthodox,-5,-4,-1,-10.159999999999997,0,-7.6200000000000045,-0.0900000000000003,-0.5900000000000003,0.08000000000000002,-0.20999999999999996,0.05999999999999994,-0.10999999999999999,0,-1.1
Blue,Orthodox,Southpaw,-3,1,6,-7.6200000000000045,0,0,-3.0600000000000005,-0.54,-0.26,0,0.08999999999999997,0.43000000000000005,0,0
Blue,Orthodox,Orthodox,5,5,4,-5.0800000000000125,0,-2.539999999999992,-2.7,-2.15,-0.12000000000000005,-0.19,0.040000000000000036,-0.18999999999999995,-0.5,-1.68
Red,Southpaw,Orthodox,11,12,8,2.5400000000000205,0,5.079999999999984,1.3299999999999996,-1.33,-0.15000000000000002,0.20999999999999996,0.13999999999999996,0.21000000000000008,0,-0.010000000000000009
Red,Orthodox,Orthodox,1,-1,1,-7.6200000000000045,0,5.079999999999984,-2.5000000000000004,1.6999999999999997,0.020000000000000018,-0.030000000000000027,-0.07000000000000006,0.69,1.6,3.9599999999999995
Blue,Orthodox,Switch,-2,0,1,-2.539999999999992,0,-10.159999999999997,-1.1099999999999999,-3.73,-0.010000000000000009,0.5,0.20999999999999996,0.04999999999999993,0.3,1.19
Red,Orthodox,Orthodox,1,-1,3,2.5400000000000205,0,5.079999999999984,2.65,-1.7000000000000006,0.08999999999999997,0.84,0.07000000000000006,0.12,0,0.33999999999999997
Red,Orthodox,Orthodox,0,-1,-2,-12.699999999999989,0,-10.159999999999997,1.1599999999999997,-1.44,-0.050000000000000044,-0.12,0.020000000000000018,0.18999999999999995,0.1,0.30999999999999983
Blue,Orthodox,Orthodox,-3,2,-2,-7.6200000000000045,0,2.539999999999992,-2.5800000000000005,-0.05999999999999961,-0.010000000000000009,0.12,-0.10000000000000003,0,0.1,2
Red,Orthodox,Switch,8,6,1,5.0800000000000125,0,5.079999999999984,1.5099999999999998,2.5,0.06,-0.030000000000000027,0.08999999999999997,-0.12,-0.5,-1.6300000000000001
Blue,Orthodox,Orthodox,-8,0,5,-2.539999999999992,0,0,2.03,-3.0799999999999996,0.29,0.07,0.17999999999999994,0.33999999999999997,0,0.38
Blue,Orthodox,Switch,1,5,-2,-5.079999999999984,-4.539999999999999,-7.6200000000000045,-2.6900000000000004,1.63,-0.2,0.16999999999999998,-0.13,-0.28,-1.4,-0.4
Blue,Orthodox,Orthodox,-1,-1,6,-2.539999999999992,0,2.539999999999992,-1.9100000000000001,0.10000000000000009,-0.15000000000000002,0.09000000000000002,-0.09999999999999998,-0.43,-0.19999999999999996,0.43000000000000005
Red,Orthodox,Southpaw,-9,-8,-1,7.6200000000000045,0,5.079999999999984,0.07000000000000028,-0.4300000000000006,0.06999999999999995,0.29,0.08999999999999997,0.15999999999999992,0.5,1.09
Red,Orthodox,Orthodox,-1,0,-6,10.159999999999997,0,20.319999999999993,1.0100000000000002,0.3900000000000001,-0.04999999999999999,-0.010000000000000009,-0.07999999999999996,0.010000000000000009,0.5,-0.49
Blue,Orthodox,Southpaw,-5,1,10,0,0,7.6200000000000045,-0.41999999999999993,2.86,0.02999999999999997,0.12,-0.08999999999999997,-0.13,0.6,1.26
Blue,Orthodox,Orthodox,-2,1,-6,15.240000000000009,0,7.6200000000000045,2.3200000000000003,1.5800000000000005,0.04999999999999993,0.28,-0.10000000000000003,-1,0.8,2.25
Red,Orthodox,Orthodox,-1,-3,6,-7.6200000000000045,0,-15.240000000000009,-0.75,-1.6099999999999994,0.07,-0.24,0.12,-0.22000000000000003,0.6,0.91
Blue,Southpaw,Switch,3,-5,-4,-5.079999999999984,0,0,-1.6500000000000004,2.0800000000000005,-0.32000000000000006,-0.010000000000000009,-0.039999999999999925,0.030000000000000027,-0.09999999999999998,1.52
Red,Orthodox,Switch,7,2,6,10.159999999999997,0,15.240000000000009,-6.9799999999999995,-11.16,0.16999999999999998,0.45,0.040000000000000036,-0.33999999999999997,0,3.39
Red,Orthodox,Switch,3,-1,-5,5.0800000000000125,0,12.699999999999989,-1,-2.58,0.050000000000000044,0.5900000000000001,0.05999999999999994,0.050000000000000044,-0.09999999999999998,0.6499999999999999
Red,Orthodox,Orthodox,-1,-5,0,-2.5400000000000205,0,7.6200000000000045,2.1399999999999997,-0.9100000000000001,0.09999999999999998,0.14999999999999997,0.02999999999999997,0.21999999999999997,-1.1,-0.55
Blue,Southpaw,Orthodox,-2,2,1,-2.5400000000000205,0,2.5400000000000205,2.38,4.41,-0.04999999999999999,0.33,-0.07999999999999996,0.09999999999999998,0,0.5
Blue,Southpaw,Orthodox,-3,-2,0,-5.0800000000000125,26.760000000000005,-7.6200000000000045,0.43000000000000016,-0.3799999999999999,0.24000000000000005,-0.03999999999999998,-0.03999999999999998,0.22999999999999998,0.7,0.43999999999999995
Blue,Orthodox,Switch,7,4,3,0,0,0,-0.5800000000000001,-0.4399999999999995,-0.09000000000000002,0.13,0.06999999999999995,0.37,-0.6000000000000001,-2.15
Red,Orthodox,Orthodox,6,6,3,2.5400000000000205,0,2.5400000000000205,0.2999999999999998,-1.5700000000000003,-0.04999999999999993,-0.10999999999999999,0.06999999999999995,-0.050000000000000044,-0.9000000000000001,0.21999999999999997
Red,Orthodox,Orthodox,19,10,4,5.0800000000000125,0,17.78,-0.3599999999999999,-0.9100000000000001,0,-0.19999999999999996,0,0.38,-0.7,-0.8700000000000001
Red,Orthodox,Orthodox,15,3,2,-7.619999999999976,0,2.539999999999992,-0.23000000000000043,0.9100000000000001,0.040000000000000036,-0.25,0.010000000000000009,0.25,-0.1,-0.22
Blue,Southpaw,Orthodox,1,3,0,2.539999999999992,0,-5.079999999999984,-1.0399999999999996,0.020000000000000018,-0.07999999999999996,0.03999999999999998,0,0.040000000000000036,0.2,-3.73
Blue,Orthodox,Orthodox,5,0,5,0,0,-15.240000000000009,-1.5099999999999998,1.0500000000000003,-0.040000000000000036,0.27,-0.09999999999999998,-0.12,0,1.5
Blue,Switch,Orthodox,4,6,-3,-12.700000000000017,0,-22.860000000000014,0.15999999999999925,0.3099999999999996,0.019999999999999962,-0.52,-0.010000000000000009,-0.36,0.09999999999999998,-0.67
